"PLATFORM_TITLE_ID","REGION","MIXIMUM_VIEWING"
GXdRsewUPO5uAuwEAABEI,MX,150095
GXdRsewUPO5uAuwEAABEI,BR,137137
GXdRsewUPO5uAuwEAABEI,CO,94131
GXdRsewUPO5uAuwEAABEI,SE,84403
GXdbR_gOXWJuAuwEAACVH,ES,83627
GXdRsewUPO5uAuwEAABEI,ES,67872
GXdbR_gOXWJuAuwEAACVH,BR,62653
GXdRsewUPO5uAuwEAABEI,DK,62228
GXdbR_gOXWJuAuwEAACVH,DK,60066
GVU2cggagzYNJjhsJATwo,ES,57896
GXdbR_gOXWJuAuwEAACVH,SE,57173
GXdRsewUPO5uAuwEAABEI,US,50063
GXdbR_gOXWJuAuwEAACVH,CO,48191
GVU2cggagzYNJjhsJATwo,MX,47697
GXdRsewUPO5uAuwEAABEI,NO,45581
GVU2cggagzYNJjhsJATwo,CO,45403
GXdbR_gOXWJuAuwEAACVH,MX,44078
GXdRsewUPO5uAuwEAABEI,AR,39831
GXdbR_gOXWJuAuwEAACVH,US,36371
GXdbR_gOXWJuAuwEAACVH,PL,35943
GXdbR_gOXWJuAuwEAACVH,AR,34485
GVU2cggagzYNJjhsJATwo,BR,33603
GXdRsewUPO5uAuwEAABEI,FI,31195
GYsYeoAxKH8LCwgEAAAOR,ES,30163
GYEkLVAeovrHCwgEAAAAW,MX,29794
GYC_OsgovbZbDwwEAAAAD,BR,29684
GXdbR_gOXWJuAuwEAACVH,NO,29359
GYGT8zAx-rsLDcwEAAAAs,ES,29001
GYT4Euwsme8NtwgEAAABI,ES,28710
GXdRsewUPO5uAuwEAABEI,PL,28203
GVU2cggagzYNJjhsJATwo,SE,26478
GVU2cggagzYNJjhsJATwo,PL,24756
GVU2cAAPSJoNJjhsJATt6,ES,24039
GYGT8zAx-rsLDcwEAAAAs,PL,23664
GYRsKbA3gmIjDwgEAAAMH,MX,23467
GWukCJAq-nIuHwwEAAAB4,ES,23458
GXdbR_gOXWJuAuwEAACVH,FI,23225
GXkyElw3j2J4_wwEAAAQa,MX,22464
GXkyElw3j2J4_wwEAAAQa,ES,22452
GXyL-rA27qcJ6pQEAAADP,SE,22272
GYyofRQHeuJ6fiQEAAAEy,ES,22178
GXyL-rA27qcJ6pQEAAADP,NO,21910
GXdMTbQrnTaXCPQEAAA9W,ES,21779
GYjDZsQoLZYlCwwEAAAAW,CO,21212
GXkRjxwjR68PDwwEAABKJ,MX,20992
GYGT8zAx-rsLDcwEAAAAs,SE,20817
GYUTUfw1XB7KymwEAAAAE,MX,20726
GYGhpSwCFYsISvQEAAAAH,ES,20582
GXkyElw3j2J4_wwEAAAQa,BR,20562
GXmAuwAxxXp4_wwEAACh0,CO,20443
GXkRjxwjR68PDwwEAABKJ,CO,20022
GX-EdhwKKy5rDwwEAAACK,ES,20001
GXkRjxwjR68PDwwEAABKJ,ES,19605
GXmAuwAxxXp4_wwEAACh0,MX,19504
GVU2cAAPSJoNJjhsJATt6,MX,19367
GYRsKbA3gmIjDwgEAAAMH,CO,19316
GXkRjxwjR68PDwwEAABKJ,BR,18585
GXKN_xQX5csPDwwEAAABj,ES,18514
GXl20QAK1sTC3wwEAAB4I,MX,18036
GXkyElw3j2J4_wwEAAAQa,CO,17919
GYJWmoAFMlMJRhwEAAACy,BR,17790
GYGIiugVrw8MUuAEAAABi,MX,17746
GYC_OsgovbZbDwwEAAAAD,ES,17655
GVU2cggagzYNJjhsJATwo,AR,17529
GXyL-rA27qcJ6pQEAAADP,DK,17362
GVU2cggagzYNJjhsJATwo,US,17064
GXmAuwAxxXp4_wwEAACh0,ES,16947
GYRsKbA3gmIjDwgEAAAMH,BR,16785
GYC_OsgovbZbDwwEAAAAD,PL,16779
GYLD3_ArixL1sggEAAAHk,ES,16416
GYGhFzgNeM8PDcgEAAAAJ,SE,16383
GXdbR_gOXWJuAuwEAACVH,NL,16322
GXmAuwAxxXp4_wwEAACh0,BR,16125
GYGhFzgNeM8PDcgEAAAAJ,ES,15895
GYGT8zAx-rsLDcwEAAAAs,BR,15869
GYh9YiQJDHrITrgEAAAAC,ES,15620
GYJWmoAFMlMJRhwEAAACy,CO,15563
GYjDZsQoLZYlCwwEAAAAW,MX,15528
GYJWmoAFMlMJRhwEAAACy,SE,15411
GVU2cggagzYNJjhsJATwo,DK,15069
GYGT8zAx-rsLDcwEAAAAs,CO,14774
GXdRsewUPO5uAuwEAABEI,NL,14436
GYGIiugVrw8MUuAEAAABi,ES,14372
GXl20QAK1sTC3wwEAAB4I,CO,14327
GX5tdIgP5ILrCwgEAAADH,ES,14306
GVU2cggagzYNJjhsJATwo,FI,14253
GYJWmoAFMlMJRhwEAAACy,MX,14188
GX-EdhwKKy5rDwwEAAACK,MX,14079
GVU2cAAPSJoNJjhsJATt6,CO,13930
GYTEv9wrztomxJgEAAAFB,SE,13902
GYEkLVAeovrHCwgEAAAAW,AR,13846
GYGhFzgNeM8PDcgEAAAAJ,FI,13700
GVU2cggagzYNJjhsJATwo,NO,13519
GYIJCdgZFR4Y1wwEAAAKc,MX,13229
GYRsKbA3gmIjDwgEAAAMH,AR,13172
GYGT8zAx-rsLDcwEAAAAs,DK,12896
GYjDZsQoLZYlCwwEAAAAW,BR,12872
GYyofRQHeuJ6fiQEAAAEy,BR,12736
GYXhKzAbBH7GzIwEAAAJG,SE,12484
GXkRjxwjR68PDwwEAABKJ,PL,12429
