"PLATFORM_TITLE_ID","REGION","MIXIMUM_VIEWING"
GYQLxAQ3qux24bwEAAAGE,ES,15516
GYh2ETwX7hMJjkAEAAACD,ES,9896
GYT4P_gKceKrCfQEAAAWP,ES,5166
GYQGEeQ8Kf4rDAAEAAAAH,ES,4164
GYXXQhg5EtMIkwwEAAAFa,ES,4131
GYWavHA0XyY6NwgEAAAFD,ES,3945
GYT_OuA4CCYrCwgEAAAAf,ES,2432
GYamAbgEfcMLCPwEAAAAZ,ES,1365
GYbsOugM6LL68wwEAAAKf,ES,1227
GYQfyjw4OC8LCawEAAABZ,ES,1150
GYPbZng0rwMMloQEAAAFz,ES,1126
GYSSGmANJr7nCZQEAAAAh,ES,1010
GYfmXnwqzokySrQEAAACl,PL,737
GYxW_HAcfnXcpuQEAAAoW,ES,732
GYg01Igd1bYfDwgEAAAAG,PL,713
GYSCVCwjPSovDwwEAAAB3,PL,694
GYyr69wwG1sLDDgEAAAHt,ES,584
GY2CC3Aq1-p_DwgEAAAAb,ES,548
GYXMPfAdl8cJneQEAAACV,ES,492
GYT-hZAASVsNttwEAAAAH,ES,421
GYyCtqgHZDqwegAEAAAGr,ES,345
GYgYoAw81GI4KtwEAAAGt,ES,340
GYyxh0QYubKgeRAEAAADl,PL,328
GYqNKZg5u2Ky1mwEAAABE,ES,326
GYbI3HAX9m4qlwgEAAAA6,PL,320
GYqhvqAAQVqXCQAEAAAAR,PL,312
GYfNbCQJrJLyCwwEAAAAZ,PL,280
GYboT8w2a9b6udwEAAAXK,ES,276
GYWpi2gu03EW6vQEAAACV,ES,276
GYaWOTAkpybeBhgEAAAAM,ES,261
GYfl4HQAsvcPCBQEAAAEz,PL,244
GY79avAWjfZfDVQEAAArt,PL,212
GY01EcA0KsZC_wwEAAAF8,PL,210
GYaWOLQi07VGAwwEAAAAH,ES,182
GY_5_FwhA_8LCwwEAABD5,ES,182
GYoN73wAAQKK1wwEAAAAC,ES,164
GYrWMyQUdDMJzmwEAAAAC,ES,147
GYW7lgwEwoMN8sAEAAABE,ES,141
GYwUz5wsV8LTCKgEAAAYM,ES,136
GYkT14w2Tio68uwEAAABm,PL,131
GYupDBgW3i8JboAEAAAEY,ES,124
GYL54GQVWWcJihAEAAAAd,ES,122
GYaZUDQ7cXcPCwwEAAABA,ES,118
GYvthPgSFva3DPwEAAAAC,ES,110
GY8FYyAAPRcPDwgEAAAqu,PL,107
GYoztxgd6_n-zwgEAAACl,ES,105
GYuMpDQRc68LCwgEAAA_L,PL,104
GYqnZLASSmkiKwwEAAACD,PL,102
GYhyiXwps05Z2wwEAAABH,ES,101
GYQFwrwUT08LDwwEAAAE7,ES,98
GYZLNlwOBoJKWWQEAAABk,ES,97
GVw1IIw7bhI2vw5gJAAA0,ES,94
GYkxA2QR02ovCwwEAAADp,PL,91
GY4oSLgFd-EG9tAEAAAOo,PL,90
GYGiRTwfS3IshwgEAAACB,ES,90
GXOQyAwwI4oDCwgEAAAAx,ES,84
GYXmzgwk1vsPDBAEAAANZ,ES,84
GYZUIag6zS7zDEAEAAAAm,ES,82
GYjRZDAeCVASGmQEAAAC7,ES,81
GYjMUBwYXT4GawwEAAAAp,ES,81
GY00Vww4usbqYkwEAAAFV,PL,79
GYUAwNQjQCkjDEwEAAAAM,PL,78
GYozxEAwuCcJglwEAAAEP,ES,75
GW6PCCAdmFcPDSgEAAAE-,PL,73
GXkV5uANbnY7CZgEAABwG,ES,72
GYmlm6geb6cI7sQEAAAAe,PL,72
GYxiBrwLyl7TCKgEAAAn2,PL,72
GYj3qFAwEYXjDZAEAAAFr,PL,71
GYKRGrgKLzDZxYQEAAABF,ES,71
GYd_ZPQOVkG6rwgEAABEa,PL,70
GYisuOQEtu8IowgEAAAAE,ES,69
GYnESbgoGshuLwgEAAABg,ES,69
GYuQlsAzRYqFemAEAAAAE,PL,68
GYk3BQQ7J3n1FnAEAAAAg,ES,66
GYsiR5wjkOsPCEAEAAAAC,PL,66
GXdcRXwaMPcPCwwEAACpu,PL,66
GYrMGpAL5HwCFmgEAAAAC,ES,65
GYYUGSwKX-hROlgEAAAAu,ES,64
GYFzcFAM3aYe8qwEAAACG,ES,64
GYfmVkgkyX8PCwwEAAAGB,PL,64
GY1yOwgP1ycPCwwEAAAAG,PL,63
GYbLEUArmLAWauQEAAADu,ES,63
GXJvhMwgOy6gjKgEAAAGv,PL,61
GYQfxWgETkWrDwgEAAAAL,ES,60
GYW2iAQLVPGqZwwEAAABB,ES,59
GY4pewwF_AsPCLwEAAAQh,ES,59
GYk3BQQ06EoDDYwEAAAGU,PL,59
GY5MhdQbuaqaHgQEAAAX5,ES,59
GY4izDAdNR6aHgQEAAAQo,PL,58
GYQFwXwXbpK60hQEAAADk,ES,58
GYrmoowhrKSnDRwEAAAAI,PL,58
GYyxm3AvqZLcxtgEAAABs,PL,58
GXYT0RwJn56nCVgEAAAhs,PL,58
GYz1IqATbfDzDwgEAAABg,ES,57
GYisubATKQQi5wgEAAACQ,ES,57
GYozs_QVRZpHDwwEAAAAC,ES,56
GYvrmDA0AJq3CwwEAAAPL,PL,56
GYGiRTwkOtIeDOwEAAACh,ES,54
GXgYwlQUvuzzCHAEAAAot,ES,53
GWGwmDgdn07RbwwEAAAB1,ES,53
GXuPsHAKYQ8PCwgEAAA6u,ES,53
GYGVHLA4MtL3CwgEAAAAk,ES,52
GYQFrhA6uQ57CwgEAAAAa,ES,51
GY2D8JQUuTZ_DwgEAAAAk,PL,51
GX_TO3QTk7sM6gQEAAAA5,ES,51
GXqMXXgqrhsLDwgEAAABE,ES,50
GYQFwcwmwy8LDwwEAAAEZ,ES,50
GYXQi7gVt8I5kbgEAAADS,ES,49
GY3TIuQpqV8PDwgEAAAAe,PL,48
GYtbL_ggfHcLCwgEAAAq7,ES,48
GYpE7JwWcScM_TgEAAAAC,PL,48
GYW2kBQofDbG_iAEAAAAQ,ES,48
GYEZmpgnTi7CgYgEAAAAV,ES,47
GYN8IRgStiKcnrwEAAAJR,ES,46
GYVHVegSNP5DCHwEAAAB3,ES,46
GYsiSLQP853mangEAAAXi,PL,46
GYwOKVwsws63CwwEAAAWC,PL,45
GYQFwcwbHpbaTRAEAAAD0,ES,45
GYgYggQaBV4iGwgEAAAAF,PL,44
GYrHiNgKYu02wngEAAAAE,PL,44
GWg0RBAGnVXSEpAEAAADZ,ES,44
GYvroKQFdvMJboAEAAAPT,PL,44
GYzbPQgfhvHLCwgEAAAB_,PL,44
GYF5Q0gNIKX0dwwEAAAB9,PL,44
GYeDfDgyVdwPCwgEAABep,ES,43
GYyr7Mwu78K1SwwEAAABz,ES,43
GY3Oz8AjYbm6ylwEAAACC,PL,43
GXx-AZgFKkkxbcwEAAAIy,ES,42
GYUM6xA7RxcLDwgEAAABo,PL,42
GYozxOgIQEX-zwgEAAAD9,ES,42
GYrGEcAmTLgCdrAEAAAHF,PL,42
GXXAfqwKrmqnCVgEAAAFa,ES,42
GYUGJRgCrn6WxpAEAAACN,ES,42
GY4izegD_yKaHgQEAAAQq,PL,42
GYhbuqwvvtYvCwgEAAAC7,ES,42
GY2JV5QM5DcIzkwEAAAAE,ES,41
GYUQtwgsdyyTDwwEAAAKR,ES,41
GYTG0RQ4x8bxingEAAAEC,ES,40
GYbdG6AFKonkergEAAAHN,PL,40
GYp65cAU5uroDwwEAAAB2,PL,40
GXrQVCAz524ayhAEAAAA-,ES,40
GYk3DTgDNUa2OoAEAAAAS,PL,40
GYXAbrwLa6cPDOQEAAARn,ES,40
GYgHdogRVmsJifQEAAAFW,PL,39
GYwSeEgaOT3cpuQEAAAYV,PL,39
GYyr5twVjKqgeRAEAAAA_,ES,39
GYz7GOAlMgD6rkwEAAAAC,ES,39
GYk3I9gT8wrfCWgEAAANM,ES,38
GY3bxygTa86-1mgEAAABB,ES,38
GYpWC8QltDsPDRwEAAAAE,ES,38
GYSUvMg6CGaN4nwEAAAAS,ES,38
GY5NUnAdchK-1mgEAAAVB,ES,38
GYUlr6AtfmGpMDwEAAAB6,PL,38
GYjRYbAU6jIuhCwEAAACl,ES,38
GYXEJCgtMlruGtQEAAAMX,ES,38
GX_SNSwcTX5YotgEAAAA1,PL,38
GYkHM7QaDE8LCwgEAAAAU,PL,37
